Name,Typ,Adresse,Stadtteil,lat,lon,Quelle
"Urologische Praxis Tim Riedel","doctors","Dörpfeldstraße 47, 12489 Berlin, Deutschland","Adlershof",52.4386083,13.5495876,OSM
"Dorothea Bennewitz","doctors","Dörpfeldstraße 52, 12489 Berlin, Deutschland","Adlershof",52.4387712,13.5493889,OSM
"Diakonie-Station Köpenick","social_facility","Dörpfeldstraße 52, 12489 Berlin, Deutschland","Adlershof",52.4385436,13.5494538,OSM
"Diakonie Simeon Begleitete Elternschaft","social_facility","Dörpfeldstraße 52, 12489 Berlin, Deutschland","Adlershof",52.4385992,13.5495554,OSM
"Schülerhilfe","prep_school","Dörpfeldstraße 52, 12489 Berlin, Deutschland","Adlershof",52.4386259,13.5495397,OSM
"Stefan-Heym-Kinderbibliothek","library","Dörpfeldstraße 47, 12489 Berlin, Deutschland","Adlershof",52.4385838,13.5496155,OSM
"Der Geheimtipp","clothes","Dörpfeldstraße 5, 12489 Berlin, Deutschland","Adlershof",52.4357173,13.5424238,OSM
"Möbel Discount 24","furniture","Florian-Geyer-Straße 97, 12489 Berlin, Deutschland","Adlershof",52.4380667,13.5453008,OSM
"DRIVERAMA Berlin - Adlershof","car","Volmerstraße 29, 12489 Berlin, Deutschland","Adlershof",52.4259781,13.5430946,OSM
"MVZ Adlershof Vivantes Kardiologie","clinic","Justus-von-Liebig-Straße 7, 12489 Berlin, Deutschland","Adlershof",52.4282314,13.5379663,OSM
"Hangar","studio","Ludwig-Boltzmann-Straße 1, 12489 Berlin, Deutschland","Adlershof",52.4294357,13.5269299,OSM
"obeta","wholesale","Groß-Berliner Damm 96A, 12487 Berlin, Deutschland","Johannisthal",52.4402749,13.5224667,OSM
"Mega","wholesale","Groß-Berliner Damm 84C, 12487 Berlin, Deutschland","Johannisthal",52.4419099,13.5204323,OSM
"Asia Markt Kim-Chi","supermarket","Rudower Chaussee 7, 12489 Berlin, Deutschland","Adlershof",52.433239,13.537302,OSM
"Berliner Toilette","toilets","Hermann-Dorner-Allee, 12489 Berlin, Deutschland","Adlershof",52.4339905,13.52013,OSM
"AS Game Shop / AS Berufsbekleidung","video_games;clothes","Radickestraße 55, 12489 Berlin, Deutschland","Adlershof",52.4349962,13.5471004,OSM
"Geographisches Institut","university","Rudower Chaussee 16, 12489 Berlin, Deutschland","Adlershof",52.4320598,13.5343539,OSM
"Supermarkt Ali Baba","supermarket","Dörpfeldstraße 31, 12489 Berlin, Deutschland","Adlershof",52.4374569,13.5471333,OSM
"Schäfer's","bakery","Helbigstraße 1, 12489 Berlin, Deutschland","Adlershof",52.4381599,13.5482798,OSM
"Frieda's Bücherbox","public_bookcase","Stienitzseestraße 20, 12489 Berlin, Deutschland","Adlershof",52.4407904,13.5505894,OSM
"Sky 3C","beauty","Dörpfeldstraße 60, 12489 Berlin, Deutschland","Adlershof",52.4389459,13.5506047,OSM
"Sparda-Bank","atm","Adlergestell 143, 12439 Berlin, Deutschland","Niederschöneweide",52.444006,13.5304805,OSM
"Farmers Kitchen","fast_food","El Pato Medien, Franz-Ehrlich-Straße 12, 12489 Berlin, Deutschland","Adlershof",52.4332522,13.540011,OSM
"immergrün","fast_food","Rudower Chaussee 9, 12489 Berlin, Deutschland","Adlershof",52.4329927,13.5368196,OSM
"ubitricity","charging_station","Shell Recharge, Hans-Schmidt-Straße, 12489 Berlin, Deutschland","Adlershof",52.4360302,13.5371552,OSM
"Sanitätsfachgeschäft","medical_supply","Am Studio, 12489 Berlin, Deutschland","Adlershof",52.4320262,13.5375392,OSM
"Friseursalon Alexandra Kagel","hairdresser","Am Studio, 12489 Berlin, Deutschland","Adlershof",52.4320011,13.5375724,OSM
"Rüdiger´s","bakery","Alexander-von-Humboldt-Weg 1, 12489 Berlin, Deutschland","Adlershof",52.4356341,13.5236308,OSM
"sho ga nai","restaurant","Hermann-Dorner-Allee 21, 12489 Berlin, Deutschland","Adlershof",52.4354707,13.5233535,OSM
"Verkehrs Campus","driving_school","Karl-Ziegler-Straße 1, 12489 Berlin, Deutschland","Adlershof",52.4351386,13.5227778,OSM
"Gem Nails","beauty","Semmelweisstraße 102, 12524 Berlin, Deutschland","Altglienicke",52.425005,13.5277365,OSM
"Küche&Co","furniture","Dörpfeldstraße 4, 12489 Berlin, Deutschland","Adlershof",52.4356477,13.5422259,OSM
"Strassenmeister Motorcycles","motorcycle_repair","Adlergestell 343, 12489 Berlin, Deutschland","Adlershof",52.4279374,13.5561484,OSM
"Hörakustik Lehmann","hearing_aids","Albert-Einstein-Straße 4, 12489 Berlin, Deutschland","Adlershof",52.4313226,13.5364743,OSM
"Hair Comet","hairdresser","Dörpfeldstraße 68, 12489 Berlin, Deutschland","Adlershof",52.439334,13.5516484,OSM
"Rudi","cafe","Dörpfeldstraße 37, 12489 Berlin, Deutschland","Adlershof",52.4378757,13.5482723,OSM
"Home Instead","social_facility","Dörpfeldstraße 28, 12489 Berlin, Deutschland","Adlershof",52.4369626,13.545138,OSM
"Vodafone","mobile_phone","Dörpfeldstraße 31, 12489 Berlin, Deutschland","Adlershof",52.4374831,13.5472017,OSM
"Studienkreis","prep_school","Radickestraße 51, 12489 Berlin, Deutschland","Adlershof",52.4351807,13.5474991,OSM
"Frauenzentrum Treptow-Köpenick","social_facility","Radickestraße 55, 12489 Berlin, Deutschland","Adlershof",52.4350353,13.547151,OSM
"Dr. Med. Anke Heime","doctors","Radickestraße 48, 12489 Berlin, Deutschland","Adlershof",52.4355808,13.5477683,OSM
"Philipp & Lilli","childcare","Weerthstraße 7, 12489 Berlin, Deutschland","Adlershof",52.4348308,13.5437496,OSM
"Kleiderspende","recycling","Moissistraße 26, 12489 Berlin, Deutschland","Adlershof",52.4335212,13.5486041,OSM
"Café & Internet","convenience","Radickestraße 54, 12489 Berlin, Deutschland","Adlershof",52.4352671,13.5470263,OSM
"Großstadtmäuse","childcare","Friedenstraße 14, 12489 Berlin, Deutschland","Adlershof",52.4359635,13.5476596,OSM
"Stefan-Heym-Erwachsenenbibliothek","library","Dörpfeldstraße 54, 12489 Berlin, Deutschland","Adlershof",52.4388718,13.5497223,OSM
"Bel Hair","hairdresser","Dörpfeldstraße 60, 12489 Berlin, Deutschland","Adlershof",52.4389946,13.550744,OSM
"Corpus Delicti","vacant","Dörpfeldstraße 66, 12489 Berlin, Deutschland","Adlershof",52.4392764,13.5515027,OSM
"Lounge Fifty-Two","bar","Radickestraße 52, 12489 Berlin, Deutschland","Adlershof",52.4353561,13.5471802,OSM
"Rosticceria San Leone","restaurant","Wassermannstraße 97, 12489 Berlin, Deutschland","Adlershof",52.4374897,13.5549882,OSM
"Ärztehaus","clinic","Pfingstberggasse 10, 12489 Berlin, Deutschland","Adlershof",52.4396355,13.5441193,OSM
"Safety Drive","driving_school","Dörpfeldstraße 53, 12489 Berlin, Deutschland","Adlershof",52.4386365,13.5503128,OSM
"Pflegedienst Berlin City","social_facility","Dörpfeldstraße 65, 12489 Berlin, Deutschland","Adlershof",52.4394274,13.5524814,OSM
"Calließ Bürotechnik","computer","Anna-Seghers-Straße 108, 12489 Berlin, Deutschland","Adlershof",52.4361057,13.5424243,OSM
"HausElf","bar","Abram-Joffe-Straße 18, 12489 Berlin, Deutschland","Adlershof",52.4323933,13.5270733,OSM
"MeinDentist","dentist","Franz-Ehrlich-Straße 9, 12489 Berlin, Deutschland","Adlershof",52.4339341,13.54118,OSM
"DOMUSVITA Pflegewohngemeinschaft An der Drachenwiese","social_facility","Rudower Straße 226, 12557 Berlin, Deutschland","Köpenick",52.4385603,13.5638685,OSM
"a:head area","events_venue","Rudower Chaussee 24, 12489 Berlin, Deutschland","Adlershof",52.4313699,13.5325486,OSM
"Olivo Café & Bistro","cafe","Rudower Chaussee 4, 12489 Berlin, Deutschland","Adlershof",52.4344515,13.5381239,OSM
"Briekasten","letter_box","Rudower Chaussee, 12489 Berlin, Deutschland","Adlershof",52.4327107,13.5355328,OSM
"Farmers Bistro","restaurant","Pfarrer-Goosmann-Straße 11, 12489 Berlin, Deutschland","Adlershof",52.4354934,13.5335735,OSM
"ubitricity","charging_station","Wilhelm-Hoff-Straße, 12489 Berlin, Deutschland","Adlershof",52.43355,13.5260103,OSM
"ubitricity","charging_station","Katharina-Boll-Dornberger-Straße 26, 12489 Berlin, Deutschland","Adlershof",52.4343853,13.5297175,OSM
"Agip","fuel","Adlergestell 289, 12489 Berlin, Deutschland","Adlershof",52.4321779,13.5468231,OSM
"Riot Games Arena, Berlin","events_venue","Ernst-Augustin-Straße, 12489 Berlin, Deutschland","Adlershof",52.4301373,13.5442919,OSM
"CiWAN Bistro","restaurant","Dörpfeldstraße 18, 12489 Berlin, Deutschland","Adlershof",52.4364985,13.543928,OSM
